h_1171,theta_1171,h_1170,theta_1170,h_1168,theta_1168,h_1133,theta_1133
48.85,0.353111324,47.65,0.451455874,48.5,0.313509121,42.35,0.435755295
48.85,0.352569208,47.65,0.450968227,48.6,0.312937024,42.35,0.435408417
48.95,0.352065814,47.7,0.450515413,48.65,0.312405791,42.45,0.435138624
49.05,0.35156242,47.8,0.450027767,48.7,0.311874558,42.45,0.434830288
49.15,0.351059026,47.85,0.449540121,48.75,0.311343325,42.45,0.434444869
49.2,0.350555633,47.9,0.449052475,48.8,0.310771228,42.5,0.434175075
49.3,0.350052239,47.9,0.44859966,48.75,0.310239995,42.5,0.433789655
49.3,0.349510123,47.95,0.448077182,48.9,0.309708763,42.5,0.43348132
49.45,0.349006729,48,0.447589536,48.95,0.30917753,42.55,0.433134442
49.5,0.348503335,48.1,0.447136722,48.95,0.308605433,42.55,0.432864649
49.5,0.347961219,48.15,0.446614244,49.05,0.3080742,42.65,0.432517771
49.65,0.347419103,48.15,0.446126597,49.1,0.307502103,42.65,0.432247977
49.7,0.346915709,48.25,0.445638951,49.15,0.307011734,42.7,0.431978184
49.8,0.346373593,48.25,0.445081641,49.2,0.306439637,42.75,0.431592764
49.9,0.345831476,48.3,0.444663659,49.25,0.305908404,42.75,0.431322971
49.9,0.345328083,48.4,0.444176013,49.3,0.305377171,42.75,0.430976093
50.05,0.344824689,48.45,0.443688366,49.4,0.304805075,42.8,0.430667757
50.05,0.344321295,48.5,0.44320072,49.5,0.304314706,42.8,0.430436506
50.2,0.343817902,48.5,0.442678242,49.45,0.303742609,42.8,0.43012817
50.2,0.343275785,48.55,0.442190596,49.5,0.303211376,42.9,0.429742751
50.3,0.342772392,48.65,0.44170295,49.5,0.302639279,42.9,0.429434415
50.4,0.342268998,48.7,0.441180472,49.55,0.302108046,42.9,0.429087537
50.45,0.341765604,48.75,0.440727657,49.6,0.301576813,42.95,0.428817744
50.55,0.34126221,48.8,0.440240011,49.7,0.301004716,43,0.428509408
50.6,0.340758817,48.85,0.439717533,49.75,0.300514348,43,0.428162531
50.65,0.340294146,48.85,0.439264719,49.8,0.299942251,43.05,0.427854195
50.75,0.339790752,48.9,0.438777073,49.8,0.299411018,43.05,0.427584401
50.85,0.339248636,48.95,0.438324258,49.9,0.298879785,43.05,0.427276066
50.9,0.338745242,48.95,0.43780178,49.85,0.298348552,43.15,0.42696773
51,0.338280571,49.05,0.437348966,49.95,0.297817319,43.15,0.426697937
51,0.337738454,49.05,0.436896152,50,0.297286086,43.2,0.426351059
51.15,0.337235061,49.1,0.436408506,50,0.296836582,43.2,0.426042723
51.2,0.336731667,49.15,0.435955691,50,0.296264485,43.2,0.42577293
51.3,0.336228273,49.25,0.435468045,50.1,0.295774116,43.2,0.425464594
51.35,0.335763602,49.25,0.435015231,50.15,0.295202019,43.2,0.424886465
51.5,0.334795537,49.25,0.434527585,50.15,0.29471165,43.25,0.424886465
51.5,0.334292144,49.3,0.43407477,50.25,0.294180417,43.3,0.422728116
51.6,0.333750027,49.4,0.433587124,50.25,0.293649184,43.3,0.424308336
51.7,0.333324079,49.4,0.43313431,50.3,0.293117951,43.35,0.423922916
51.75,0.332820685,49.5,0.432681495,50.35,0.292586719,43.4,0.421880193
