h_1277,theta_1277,h_1278,theta_1278,h_1279,theta_1279,h_1280,theta_1280,h_1281,theta_1281,h_1282,theta_1282,h_1283,theta_1283,h_1284,theta_1284
25.65,0.479681136,34.67,0.459267652,44.165,0.422597078,29.675,0.439541838,25.655,0.455556734,26.4,0.438575455,33.06,0.437653841,31.205,0.427957035
25.76,0.479490514,34.895,0.459116775,44.565,0.421695458,29.75,0.439425125,26.07,0.455127185,26.88,0.438143941,33.135,0.437537845,31.43,0.427762314
25.89,0.479147395,35.035,0.458890461,44.61,0.42135735,30.015,0.439074986,26.025,0.455010035,26.755,0.438104712,33.515,0.437305852,31.6,0.427645482
25.74,0.478994897,34.565,0.458626427,44.745,0.421394918,30.15,0.438997177,26.36,0.454736685,27.15,0.437751655,33.77,0.437035194,31.815,0.427450761
26.14,0.478728026,34.885,0.458550989,44.86,0.420944107,30.435,0.438647037,26.435,0.454580486,27.21,0.437477055,34.185,0.436841867,32.005,0.427217097
26.335,0.478537404,35.285,0.458173798,45.075,0.420493297,30.575,0.438413611,26.56,0.454229036,27.33,0.437320141,34.215,0.43664854,32.2,0.427022376
26.295,0.47815616,35.67,0.458022922,45.275,0.419967352,30.8,0.438219089,26.86,0.454033786,27.705,0.437045541,34.545,0.436377882,32.36,0.426827655
26.6,0.477965538,36.035,0.457758888,45.365,0.419704379,30.995,0.437985663,26.805,0.453877587,27.58,0.436888626,34.84,0.43614589,32.535,0.426632935
26.705,0.477813041,36.415,0.457457135,,,31.115,0.437752236,27.18,0.453565187,27.945,0.436653255,34.975,0.436029893,32.75,0.426477158
26.895,0.477508046,36.73,0.457306259,,,31.31,0.43751881,27.235,0.453291837,28.025,0.436378655,35.24,0.435797901,32.92,0.426282438
27.005,0.477279299,37.06,0.457042225,,,31.51,0.437246479,27.4,0.453096587,28.24,0.436221741,35.455,0.435681905,33.12,0.426126661
27.19,0.476974304,37.195,0.456891349,,,31.755,0.437051957,27.745,0.452862288,28.61,0.435947141,35.745,0.435411247,33.275,0.42593194
